"Name","INV","Owner","Room","Color"
"Köynək (Model D), Colour: Ağ, Size: S","3030303030313638","-","Demo otaq","Green"
"Yubka (Model B), Colour Yaşıl, Size: XS","00000145","-","Demo otaq","Green"
"-","333030392D33","-","-","Gray"
"Paltar (Model A) Colour: Mavi, Size: S","3030303030313830","-","Demo otaq","Green"
"Şalvar (Model A), Colour: Qara, Size: M","3030303030313832","-","Demo otaq","Green"
"-","0013","-","-","Gray"
"Yubka (Model A), Colour Rəngli, Size: M","00000142","-","Demo otaq","Red"
"Gödəkçə (Model A), Colour: Göy, Size: L","3030303030313931","-","Demo otaq","Red"
"Köynək (Model B), Colour: Qara, Size: L","3030303030313539","-","Demo otaq","Red"
"Yubka (Model B), Colour: Yaşıl, Size: L","00000147","-","Demo otaq","Red"
"Yubka (Model A), Colour: Rəngli, Size: L","00000143","-","Demo otaq","Red"
"Köynək (Model D), Colour: Ağ, Size: L","3030303030313936","-","Demo otaq","Red"
"Yubka (Model B), Colour: Yaşıl, Size: M","00000146","-","Demo otaq","Red"
"Köynək (Model B), Colour: Boz, Size: L","3030303030313634","-","Demo otaq","Red"
"Köynək (Model B), Colour: Ağ, Size: L","3030303030313632","-","Demo otaq","Red"
"Köynək (Model C) Colour: Qara, Size: M","3030303030313635","-","Demo otaq","Red"
"Köynək (Model D), Colour: Ağ, Size: XL","3030303030313639","-","Demo otaq","Red"
"Paltar (Model A), Colour: Qara, Size: XS","3030303030313736","-","Demo otaq","Red"
"Paltar (Model A), Colour: Çəhrayı, Size: L","3030303030313739","-","Demo otaq","Red"
"Gödəkçə (Model A), Colour: Boz, Size: L","3030303030313839","-","Demo otaq","Red"
"Şalvar (Model A), Colur: Qara, Size: L","3030303030313833","-","Demo otaq","Red"
"Şalvar (Model A), Colour: Boz, Size: S","3030303030313834","-","Demo otaq","Red"
"Şalvar (Model A), Colour: Boz, Size: M","3030303030313835","-","Demo otaq","Red"
"Şalvar (Model A), Colour: Boz, Size: L","3030303030313836","-","Demo otaq","Red"
"Qısa qol köynək (Model A), Colour: Sarı, Siz: L","7856757865765","-","Demo otaq","Red"
"Qısa qol köynək (Model A), Colour: Yaşıl, Size: XXL","3030303030313933","-","Demo otaq","Red"
