"Name","INV","Owner","Room","Color"
"Koynek (Model D), Colur: Ag, Size: S","00-000168","Farid","Demo","Green"
"Yubka (Model B), Colur: Yashil, Size: XS","00-000145","Farid","Demo","Green"
"Paltar (Model A), Colour: Chehrayi, Size L","00-000179","Farid","Demo","Green"
"-","-","-","-","Gray"
"Yubka (Model A) Colour: Rəngli, Size: L","00-000143","Farid","Demo","Green"
"Koynək (Model D), Colur: Ag, Size: L","00-000196","Farid","Demo","Green"
"Qisaqol koynek (Model A)? Colour^ Sari? Size^ L","00-000194","Farid","Demo","Green"
"-","-","-","-","Gray"
"Koynek (Model D), Colur: Ag, Size: XL","00-000169","Farid","Demo","Green"
"Godekche (Model A), Colur: Goy, Size: L","00-000191","Farid","Demo","Green"
"Yubka (Model A) Colour: Rəngli, Size: M","00-000142","Farid","Demo","Green"
"Koynek (Model C), Colur: Qara, Size: M","00-000165","Farid","Demo","Green"
"-","-","-","-","Gray"
"Koynək (Model B), Colur: Boz, Size: L","00-000164","Farid","Demo","Green"
"Koynək (Model B), Colur: Ag, Size: L","00-000162","Farid","Demo","Green"
"Shalvar (Model A), Colur: Boz, soze: L","00-000186","Farid","Demo","Green"
"Shalvar (Model A), Colour: Boz, Size: S","00-000184","Farid","Demo","Green"
"-","-","-","-","Gray"
"Yubka (Model B) Colour: Yashil Size: M","00-00146","Farid","Demo","Green"
"Shalvar (Model A), Colour: Boz, Size: M","00-000185","Farid","Demo","Green"
"Godekche 9Model A), Colour: Boz, Size: L","00-000189","Farid","Demo","Green"
"Köynək (Model B), Colur: Qara, Size: L","00-000159","Farid","Demo","Green"
"Paltar (Model A), Colour: Qara, Size XS","00-000176","Farid","Demo","Green"
"Qisa qol kpynek (model A), Colur: Yashil, Size: XXL","00-000193","Farid","Demo","Green"
"Shalvar (Model A), Colour: Qara, Size: L","00-000183","Farid","Demo","Green"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"Paltar (Model A), Colour: Mavi, Size: S","00-000180","Farid","Demo","Green"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"Shalvar (Model A), Colour: Qara, Size: M","00-000182","Farid","Demo","Green"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
"-","-","-","-","Gray"
